Legal Entity,Investor,Vehicle
NI V Co-Invest Vehicle A SCSp,Lanfield to Trentholm Roskworth Merrford,NI V Co-Invest Vehicle A SCSp
NI V Co-Invest Vehicle A SCSp,Lanfield to Trentholm Roskworth Merrford LP,NI V Co-Invest Vehicle A SCSp
NI V Co-Invest Vehicle A SCSp,Lanfield to Trentholm Nethbeck Merrford LP,NI V Co-Invest Vehicle A SCSp
NI V Co-Invest Vehicle A SCSp,Lanfield to Trentholm Nethbeck Merrford LP (side car),NI V Co-Invest Vehicle A SCSp
NI V Co-Invest Vehicle A SCSp,Lanfield to Trentholm Wrenvale LP,NI V Co-Invest Vehicle A SCSp
NI V Co-Invest Vehicle A SCSp,Lanfield to Trentholm Lanworth & Westcombe LP,NI V Co-Invest Vehicle A SCSp
NI V Co-Invest Vehicle A SCSp,Lanfield to Trentholm Carrworth LP,NI V Co-Invest Vehicle A SCSp
NI V Co-Invest Vehicle A SCSp,NI NKP Co Invest I SCSp,NI V Co-Invest Vehicle A SCSp - Class A
NI V Co-Invest Vehicle A SCSp,Nordvik Infrastructure Co-Invest GP S.à r.l.,NI V Co-Invest Vehicle A SCSp
NI V Co-Invest Vehicle A SCSp,Nordvik Infrastructure SWIC Co-invest Vehicle I SCSp,NI V Co-Invest Vehicle A SCSp
NI V Co-Invest Vehicle A SCSp,DK NI Co-invest K/S,NI V Co-Invest Vehicle A SCSp
NI V Co-Invest Vehicle A SCSp,Fairley Drayford jerrshaw westdale,NI V Co-Invest Vehicle A SCSp
NI V Co-Invest Vehicle A SCSp,SCRF NI Co-invest SCSp,NI V Co-Invest Vehicle A SCSp
NI V Co-Invest Vehicle A SCSp,"HIQ Pension, forsikringsaktieselskab",NI V Co-Invest Vehicle A SCSp
NI V Co-Invest Vehicle A SCSp,GAD Eddhurst Corp.,NI V Co-Invest Vehicle A SCSp
NI V Co-Invest Vehicle A SCSp,"JAK Alternative Investments S.A., SICAV-RAIF, sub-fund I",NI V Co-Invest Vehicle A SCSp
NI V GP I SCSp,Nordvik Infrastructure V GP S.à r.l.,NI V GP I SCSp - Class A
NI V GP I SCSp,Nordvik Infrastructure V GP S.à r.l.,NI V GP I SCSp - General Partner
NI V GP I SCSp,WID GP Investor AS,NI V GP I SCSp - Class A
NI V Sponsor Investor US LP,NI V Sponsor Investor K/S,NI V Sponsor Investor US LP - Denhurst LP
NI V Sponsor Investor US LP,NI V Sponsor Investor US K/S,NI V Sponsor Investor US LP - LP Contributor
NI V Sponsor Investor US LP,Nordvik Infrastructure V US GP A LLC,NI V Sponsor Investor US LP - General Partner
Nordvik Infrastructure Advanced Bioenergy Fund I Feeder SCSp,Selmere LUQ-fonden (Second Selgarth National Pension Fund - LUQ2),Nordvik Infrastructure Advanced Bioenergy Fund I Feeder SCSp - Class A
Nordvik Infrastructure Advanced Bioenergy Fund I Feeder SCSp,Nordvik Infrastructure Advanced Bioenergy Fund I GP S.à r.l.,Nordvik Infrastructure Advanced Bioenergy Fund I Feeder SCSp - GP
Nordvik Infrastructure Advanced Bioenergy Fund I Feeder SCSp,Larchford LUQ-fonden,Nordvik Infrastructure Advanced Bioenergy Fund I Feeder SCSp - Class A
Nordvik Infrastructure Advanced Bioenergy Fund I GP S.à r.l.,Nordvik Infrastructure Partners GP Interests Holding K/S,Nordvik Infrastructure Advanced Bioenergy Fund I GP S.à r.l.
Nordvik Infrastructure Advanced Bioenergy Fund I SCSp,Roskcombe Retraite,Nordvik Infrastructure Advanced Bioenergy Fund I SCSp - Class A
Nordvik Infrastructure Advanced Bioenergy Fund I SCSp,CER-Ardvik 95,Nordvik Infrastructure Advanced Bioenergy Fund I SCSp - Class A
Nordvik Infrastructure Advanced Bioenergy Fund I SCSp,VEM-Ardvik 84,Nordvik Infrastructure Advanced Bioenergy Fund I SCSp - Class A
Nordvik Infrastructure Advanced Bioenergy Fund I SCSp,CIS-Ardvik 63 Vermögensverwaltungsgesellschaft mbH,Nordvik Infrastructure Advanced Bioenergy Fund I SCSp - Class A
Nordvik Infrastructure Advanced Bioenergy Fund I SCSp,CIS-Ardvik 83,Nordvik Infrastructure Advanced Bioenergy Fund I SCSp - Class A
Nordvik Infrastructure Advanced Bioenergy Fund I SCSp,KUM Ardvik 87,Nordvik Infrastructure Advanced Bioenergy Fund I SCSp - Class A
Nordvik Infrastructure Advanced Bioenergy Fund I SCSp,KUM-Ardvik 82,Nordvik Infrastructure Advanced Bioenergy Fund I SCSp - Class A
Nordvik Infrastructure Advanced Bioenergy Fund I SCSp,Bundespensionskasse BRACKEN - QOF 11,Nordvik Infrastructure Advanced Bioenergy Fund I SCSp - Class A
Nordvik Infrastructure Advanced Bioenergy Fund I SCSp,NI ABF I SP Invest K/S,Nordvik Infrastructure Advanced Bioenergy Fund I SCSp - Class C
Nordvik Infrastructure Advanced Bioenergy Fund I SCSp,NI ABF I Sponsor Investor K/S,Nordvik Infrastructure Advanced Bioenergy Fund I SCSp - Class B
Nordvik Infrastructure Advanced Bioenergy Fund I SCSp,NI ABF I Sponsor Investor K/S,Nordvik Infrastructure Advanced Bioenergy Fund I SCSp - Class C
Nordvik Infrastructure Advanced Bioenergy Fund I SCSp,NI ABF I Sponsor Investor US KS,Nordvik Infrastructure Advanced Bioenergy Fund I SCSp - Class B
Nordvik Infrastructure Advanced Bioenergy Fund I SCSp,NIP Affiliated Managers ApS,Nordvik Infrastructure Advanced Bioenergy Fund I SCSp - Class A
Nordvik Infrastructure Advanced Bioenergy Fund I SCSp,NIP Global Energy Transition Aggregator - I,Nordvik Infrastructure Advanced Bioenergy Fund I SCSp - Class A
Nordvik Infrastructure Advanced Bioenergy Fund I SCSp,NIP Global Energy Transition Aggregator - I,Sub-Class A
Nordvik Infrastructure Advanced Bioenergy Fund I SCSp,NIP Global Energy Transition Feeder,Sub-Class A
Nordvik Infrastructure Advanced Bioenergy Fund I SCSp,NIP Global Energy Transition Master – I,Sub-Class A
Nordvik Infrastructure Advanced Bioenergy Fund I SCSp,Nordvik Infrastructure ABF I GP S.à r.l.,Nordvik Infrastructure Advanced Bioenergy Fund I SCSp - GP Interest
Nordvik Infrastructure Advanced Bioenergy Fund I SCSp,Nordvik Infrastructure Advanced Bioenergy Fund I Feeder SCSp,Nordvik Infrastructure Advanced Bioenergy Fund I SCSp - Class A
Nordvik Infrastructure Advanced Bioenergy Fund I SCSp,Nordvik Infrastructure Advanced Bioenergy Fund I GP S.à r.l.,Nordvik Infrastructure Advanced Bioenergy Fund I SCSp - Class A
Nordvik Infrastructure Advanced Bioenergy Fund I SCSp,Innley Verrholm A/S,Nordvik Infrastructure Advanced Bioenergy Fund I SCSp - Class A
Nordvik Infrastructure Advanced Bioenergy Fund I SCSp,Lindmere Pension - Pensionskassen for Innstead,Nordvik Infrastructure Advanced Bioenergy Fund I SCSp - Class A
Nordvik Infrastructure Advanced Bioenergy Fund I SCSp,Wickdale Pensionsforsikringsaktieselskab,Nordvik Infrastructure Advanced Bioenergy Fund I SCSp - Class A
Nordvik Infrastructure Advanced Bioenergy Fund I SCSp,Grenbury Bank Co. Ltd.,Nordvik Infrastructure Advanced Bioenergy Fund I SCSp - Class A
Nordvik Infrastructure Advanced Bioenergy Fund I SCSp,K&R Holding A/S,Nordvik Infrastructure Advanced Bioenergy Fund I SCSp - Class A
Nordvik Infrastructure Advanced Bioenergy Fund I SCSp,Aeroven Wind Systems A/S,Nordvik Infrastructure Advanced Bioenergy Fund I SCSp - Class A
Nordvik Infrastructure Advanced Bioenergy Fund II QFPF SCSp,Nordvik Infrastructure ABF II GP S.à r.l.,Nordvik Infrastructure Advanced Bioenergy Fund II QFPF SCSp - GP Interest
Nordvik Infrastructure Advanced Bioenergy Fund II QFPF SCSp,Lindmere Pension - Pensionskassen for Innstead,Nordvik Infrastructure Advanced Bioenergy Fund II QFPF SCSp - Class A
Nordvik Infrastructure Advanced Bioenergy Fund II QFPF SCSp,Wickdale Pensionsforsikringsaktieselskab,Nordvik Infrastructure Advanced Bioenergy Fund II QFPF SCSp - Class A
Nordvik Infrastructure Advanced Bioenergy Fund II SCSp,Nordvik Infrastructure ABF II GP S.à r.l.,Nordvik Infrastructure Advanced Bioenergy Fund II SCSp - GP Interest
Nordvik Infrastructure Advanced Bioenergy Fund II SCSp,Ashdale Linddale- hollmont Wrenshaw,Nordvik Infrastructure Advanced Bioenergy Fund II SCSp - Class A
Nordvik Infrastructure Evergreen Credit Fund EUR SCSp,Ferrvale - Wickstead Pensionskasse,Nordvik Infrastructure Evergreen Credit Fund EUR SCSp
Nordvik Infrastructure Evergreen Credit Fund EUR SCSp,Nordvik Infrastructure GCF II GP S.à r.l.,Nordvik Infrastructure Evergreen Credit Fund EUR SCSp
Nordvik Infrastructure Evergreen Credit Fund EUR SCSp,Cantbury Pension – pensionskassen for innstead,Nordvik Infrastructure Evergreen Credit Fund EUR SCSp
Nordvik Infrastructure Evergreen Credit Fund EUR SCSp,Losley Pension forsikringsaktieselskab,Nordvik Infrastructure Evergreen Credit Fund EUR SCSp
Nordvik Infrastructure GCF I GP S.à r.l.,Nordvik Infrastructure Partners GP Interests Holding K/S,Nordvik Infrastructure GCF I GP S.à r.l. - Initial Partner
Nordvik Infrastructure GMF II GP S.à r.l.,Nordvik Infrastructure Partners GP Interests Holding K/S,Nordvik Infrastructure GMF II GP S.à r.l. - Founding Shareholder
Nordvik Infrastructure Green Credit Fund I Non-SRT AIV SCSp,NI GCF I Sponsor Investor K/S,Nordvik Infrastructure Green Credit Fund I Non-SRT AIV SCSp - Class B
Nordvik Infrastructure Green Credit Fund I Non-SRT AIV SCSp,NI GCF I Sponsor Investor K/S,Nordvik Infrastructure Green Credit Fund I Non-SRT AIV SCSp - Class C
Nordvik Infrastructure Green Credit Fund I Non-SRT AIV SCSp,Nordvik Infrastructure GCF I GP S.à r.l.,Nordvik Infrastructure Green Credit Fund I Non-SRT AIV SCSp - GP
Nordvik Infrastructure Green Credit Fund I Non-SRT AIV SCSp,Nordvik Infrastructure Partners GP Interests Holding K/S,Nordvik Infrastructure Green Credit Fund I Non-SRT AIV SCSp - Initial Limited Partner
Nordvik Infrastructure Green Credit Fund I Non-SRT AIV SCSp,Fairley Drayford jerrshaw westdale,Nordvik Infrastructure Green Credit Fund I Non-SRT AIV SCSp - Class A Ordinary Shares
Nordvik Infrastructure Green Credit Fund I Non-SRT AIV SCSp,Lindmere Pension - Pensionskassen for Innstead,Nordvik Infrastructure Green Credit Fund I Non-SRT AIV SCSp - Class A Ordinary Shares
Nordvik Infrastructure Green Credit Fund I Non-SRT AIV SCSp,"P+, Pensionskassen for Tarnley",Nordvik Infrastructure Green Credit Fund I Non-SRT AIV SCSp - Class A Ordinary Shares
Nordvik Infrastructure Green Credit Fund I Non-SRT AIV SCSp,Losley Pension forsikringsaktieselskab,Nordvik Infrastructure Green Credit Fund I Non-SRT AIV SCSp - Class A Ordinary Shares
Nordvik Infrastructure Green Credit Fund I Non-SRT AIV SCSp,NEQ Alderstead Master S.A. SICAV-MAZ – Teilfonds ZIJ,Nordvik Infrastructure Green Credit Fund I Non-SRT AIV SCSp - Class A Ordinary Shares
Nordvik Infrastructure Green Credit Fund I SCSp,NI GCF I SP Invest K/S,Nordvik Infrastructure Green Credit Fund I SCSp - Class C
Nordvik Infrastructure Green Credit Fund I SCSp,NI GCF I Sponsor Investor K/S,Nordvik Infrastructure Green Credit Fund I SCSp - Class B
Nordvik Infrastructure Green Credit Fund I SCSp,NI GCF I Sponsor Investor K/S,Nordvik Infrastructure Green Credit Fund I SCSp - Class C
Nordvik Infrastructure Green Credit Fund I SCSp,NI GCF I Sponsor Investor WC K/S,Nordvik Infrastructure Green Credit Fund I SCSp - Class B
Nordvik Infrastructure Green Credit Fund I SCSp,ROQ HoldCo Ltd.,Nordvik Infrastructure Green Credit Fund I SCSp - Class C
Nordvik Infrastructure Green Credit Fund I SCSp,NIP Global Energy Transition Aggregator - I,Nordvik Infrastructure Green Credit Fund I SCSp - Class A Ordinary Shares
Nordvik Infrastructure Green Credit Fund I SCSp,NIP Global Energy Transition Master – I,Sub-Class A
Nordvik Infrastructure Green Credit Fund I SCSp,Nordvik Infrastructure GCF I GP S.à r.l.,Nordvik Infrastructure Green Credit Fund I SCSp - GP
Nordvik Infrastructure Green Credit Fund I SCSp,Nordvik Infrastructure Partners GP Interests Holding K/S,Nordvik Infrastructure Green Credit Fund I SCSp - Initial Limited Partner
Nordvik Infrastructure Green Credit Fund I SCSp,"Tarnwick General Lease Co., Ltd.",Nordvik Infrastructure Green Credit Fund I SCSp - Class A Ordinary Shares
Nordvik Infrastructure Green Credit Fund I SCSp,Kelmbury Investment Pte. Ltd.,Nordvik Infrastructure Green Credit Fund I SCSp - Class A Ordinary Shares
Nordvik Infrastructure Green Credit Fund I SCSp,Chalthorpe Wickley Larchdale,Nordvik Infrastructure Green Credit Fund I SCSp - Class A Ordinary Shares
Nordvik Infrastructure Green Credit Fund I SCSp,YARDSHAW NIQ LTD.,Nordvik Infrastructure Green Credit Fund I SCSp - Class A Ordinary Shares
Nordvik Infrastructure Green Credit Fund I SCSp,Aeroven Wind Systems A/S,Nordvik Infrastructure Green Credit Fund I SCSp - Class A Ordinary Shares
Nordvik Infrastructure Green Credit Fund II EUR SCSp,NI GCF II SP Invest K/S,Nordvik Infrastructure Green Credit Fund II SCSp - Class C
Nordvik Infrastructure Green Credit Fund II EUR SCSp,NI GCF II Sponsor Investor K/S,Nordvik Infrastructure Green Credit Fund II SCSp - Class B
Nordvik Infrastructure Green Credit Fund II EUR SCSp,NI GCF II Sponsor Investor K/S,Nordvik Infrastructure Green Credit Fund II SCSp - Class C
Nordvik Infrastructure Green Credit Fund II EUR SCSp,NIP Affiliated Managers ApS,Nordvik Infrastructure Green Credit Fund II SCSp - Class C
Nordvik Infrastructure Green Credit Fund II EUR SCSp,Nordvik Infrastructure Evergreen Credit Fund EUR SCSp,Nordvik Infrastructure Green Credit Fund II SCSp - Class A
Nordvik Infrastructure Green Credit Fund II EUR SCSp,Nordvik Infrastructure GCF II GP S.à r.l.,Nordvik Infrastructure Green Credit Fund II SCSp - GP Interest
Nordvik Infrastructure Green Credit Fund II EUR SCSp,Nordvik Infrastructure Partners GP Interests Holding K/S,Nordvik Infrastructure Green Credit Fund II SCSp - LP Interest
Nordvik Infrastructure Green Credit Fund II EUR SCSp,Brackhurst Investment Pte. Ltd.,Nordvik Infrastructure Green Credit Fund II SCSp - Class A
Nordvik Infrastructure Green Credit Fund II EUR SCSp,Fairley Drayford jerrshaw westdale,Nordvik Infrastructure Green Credit Fund II SCSp - Class A
Nordvik Infrastructure Green Credit Fund II EUR SCSp,YARDSHAW NIQ LTD.,Nordvik Infrastructure Green Credit Fund II SCSp - Class A
Nordvik Infrastructure Green Credit Fund II USD Blocked SCSp,Nordvik Infrastructure GCF II GP S.à r.l.,Nordvik Infrastructure Green Credit Fund II USD Blocker Feeder SCSp - GP Interest
Nordvik Infrastructure Green Credit Fund II USD Blocked SCSp,GAD Chalshaw Corp.,Nordvik Infrastructure Green Credit Fund II USD Blocker Feeder SCSp - Class A
Nordvik Infrastructure Green Credit Fund II USD SCSp,Nordvik Infrastructure GCF II GP S.à r.l.,Nordvik Infrastructure Green Credit Fund II USD SCSp - GP Interest
Nordvik Infrastructure Green Credit Fund II USD SCSp,Nordvik Infrastructure Green Credit Fund II USD Blocker Feeder SCSp,Nordvik Infrastructure Green Credit Fund II USD SCSp - Class A
Nordvik Infrastructure Green Credit Fund II USD SCSp,Nordvik Infrastructure Partners GP Interests Holding K/S,Nordvik Infrastructure Green Credit Fund II USD SCSp - LP Interest
Nordvik Infrastructure Growth Markets Fund II Feeder SCA SICAV-RAIF,Nordvik Infrastructure GMF II GP S.à r.l.,Nordvik Infrastructure Growth Markets Fund II Feeder SCA SICAV-RAIF - GP Interest
Nordvik Infrastructure Growth Markets Fund II Feeder SCA SICAV-RAIF,Nordvik Infrastructure Partners GP Interests Holding K/S,Nordvik Infrastructure Growth Markets Fund II Feeder SCA SICAV-RAIF - LP Interest
Nordvik Infrastructure Growth Markets Fund II Feeder SCA SICAV-RAIF – Access Compartment,Lammbury N.V. – Lammbury Impact Fund,Nordvik Infrastructure Growth Markets Fund II Feeder SCA SICAV-RAIF – Access Compartment - Class A
Nordvik Infrastructure Growth Markets Fund II Feeder SCA SICAV-RAIF – Access Compartment,Stroudthorpe Fund II RAIF-SICAV – Impact Thurford Fund,Nordvik Infrastructure Growth Markets Fund II Feeder SCA SICAV-RAIF – Access Compartment - Class A
Nordvik Infrastructure Growth Markets Fund II Feeder SCA SICAV-RAIF – Access Compartment,Stichting Stroudmere Dunbeck Elmhurst,Nordvik Infrastructure Growth Markets Fund II Feeder SCA SICAV-RAIF – Access Compartment - Class A
Nordvik Infrastructure Growth Markets Fund II Feeder SCA SICAV-RAIF – Access Compartment,Stichting Bedrijfstakpensioenfonds voor de Media CIF,Nordvik Infrastructure Growth Markets Fund II Feeder SCA SICAV-RAIF – Access Compartment - Class A
Nordvik Infrastructure Growth Markets Fund II Feeder SCA SICAV-RAIF – NKP Compartment,Fairley Drayford jerrshaw westdale,Nordvik Infrastructure Growth Markets Fund II Feeder SCA SICAV-RAIF – NKP Compartment - Class A
Nordvik Infrastructure Growth Markets Fund II Feeder SCSp,Glanbury Transformation (Blocker) SPV Ltd,Nordvik Infrastructure Growth Markets Fund II Feeder SCSp - Class A
Nordvik Infrastructure Growth Markets Fund II Feeder SCSp,Selmere LUQ-fonden (Second Selgarth National Pension Fund - LUQ2),Nordvik Infrastructure Growth Markets Fund II Feeder SCSp - Initial Limited Partner
Nordvik Infrastructure Growth Markets Fund II Feeder SCSp,Steencombe Vossshaw Foundation,Nordvik Infrastructure Growth Markets Fund II Feeder SCSp - Class A
Nordvik Infrastructure Growth Markets Fund II Feeder SCSp,Nordvik Infrastructure GMF II GP S.à r.l.,Nordvik Infrastructure Growth Markets Fund II Feeder SCSp - GP
Nordvik Infrastructure Growth Markets Fund II Feeder SCSp,Nordvik Infrastructure Partners GP Interests Holding K/S,Nordvik Infrastructure Growth Markets Fund II Feeder SCSp - Initial Limited Partner
Nordvik Infrastructure Growth Markets Fund II Feeder SCSp,Ferrgarth Tjänstepension AB,Nordvik Infrastructure Growth Markets Fund II Feeder SCSp - Class A
Nordvik Infrastructure Growth Markets Fund II Feeder SCSp,Green Wickfield (Foundation) Private Assets Offshore Class B (JEZ) LLC,Nordvik Infrastructure Growth Markets Fund II Feeder SCSp - Class A
Nordvik Infrastructure Growth Markets Fund II Feeder SCSp,Calder Investment Bank Holdings Limited,Nordvik Infrastructure Growth Markets Fund II Feeder SCSp - Class A
Nordvik Infrastructure Growth Markets Fund II Feeder SCSp,Renwick Ostcombe Pty Ltd ZAJ BOB 36 2025 Trust,Nordvik Infrastructure Growth Markets Fund II Feeder SCSp - Class A
Nordvik Infrastructure Growth Markets Fund II Feeder SCSp,Renwick Ostcombe Pty Ltd ZAJ BOB NOP 2025 Trust,Nordvik Infrastructure Growth Markets Fund II Feeder SCSp - Class A
Nordvik Infrastructure Growth Markets Fund II Feeder SCSp,Kirkvale pensionsstiftelse,Nordvik Infrastructure Growth Markets Fund II Feeder SCSp - Class A
Nordvik Infrastructure Growth Markets Fund II Feeder SCSp,KUN Tjänstepensionsförsäkring AB (grenberg),Nordvik Infrastructure Growth Markets Fund II Feeder SCSp - Class A
Nordvik Infrastructure Growth Markets Fund II Feeder SCSp,"Samchully Nordvik Growth Market II Private Placement Special Assets Fund 1 (acting by its trustee, Grenbury Bank)",Nordvik Infrastructure Growth Markets Fund II Feeder SCSp - Class A
Nordvik Infrastructure Growth Markets Fund II SCSp,Vossvale LLC,Nordvik Infrastructure Growth Markets Fund II SCSp - Class A
Nordvik Infrastructure Growth Markets Fund II SCSp,"Steencombe Asset Management Trentcombe, LP",Nordvik Infrastructure Growth Markets Fund II SCSp - Class A
Nordvik Infrastructure Growth Markets Fund II SCSp,NI GMF II SP Invest K/S,Nordvik Infrastructure Growth Markets Fund II SCSp - Class C
Nordvik Infrastructure Growth Markets Fund II SCSp,NI GMF II Sponsor Investor K/S,Nordvik Infrastructure Growth Markets Fund II SCSp - Class B
Nordvik Infrastructure Growth Markets Fund II SCSp,NI GMF II Sponsor Investor K/S,Nordvik Infrastructure Growth Markets Fund II SCSp - Class C
Nordvik Infrastructure Growth Markets Fund II SCSp,NIP Affiliated Managers ApS,Nordvik Infrastructure Growth Markets Fund II SCSp - Class C
Nordvik Infrastructure Growth Markets Fund II SCSp,NIP Global Energy Transition Aggregator - I,Nordvik Infrastructure Growth Markets Fund II SCSp - Class A
Nordvik Infrastructure Growth Markets Fund II SCSp,Nordvik Infrastructure GMF II GP S.à r.l.,Nordvik Infrastructure Growth Markets Fund II SCSp - GP
Nordvik Infrastructure Growth Markets Fund II SCSp,Nordvik Infrastructure Growth Markets Fund II Feeder SCA SICAV-RAIF – Access Compartment,Nordvik Infrastructure Growth Markets Fund II SCSp - Class A
Nordvik Infrastructure Growth Markets Fund II SCSp,Nordvik Infrastructure Growth Markets Fund II Feeder SCA SICAV-RAIF – NKP Compartment,Nordvik Infrastructure Growth Markets Fund II SCSp - Class A
Nordvik Infrastructure Growth Markets Fund II SCSp,Nordvik Infrastructure Growth Markets Fund II Feeder SCSp,Nordvik Infrastructure Growth Markets Fund II SCSp - Class A
Nordvik Infrastructure Growth Markets Fund II SCSp,Ashdale Linddale- hollmont Wrenshaw,Nordvik Infrastructure Growth Markets Fund II SCSp - Class A
Nordvik Infrastructure Growth Markets Fund II SCSp,Loscombe Yardford Steenbury BRACKEN,Nordvik Infrastructure Growth Markets Fund II SCSp - Class A
Nordvik Infrastructure Growth Markets Fund II SCSp,PUQ Skarsshaw SCS SICAV-RAIF,Nordvik Infrastructure Growth Markets Fund II SCSp - Class A
Nordvik Infrastructure Growth Markets Fund II SCSp,GOT-Havford Umbrella Fund S.A. SICAV-RAIF - GOT Fonds 5 Private Equity,Nordvik Infrastructure Growth Markets Fund II SCSp - Class A
Nordvik Infrastructure Growth Markets Fund II SCSp,Kelmvale Development Bank,Nordvik Infrastructure Growth Markets Fund II SCSp - Class A
Nordvik Infrastructure Growth Markets Fund II SCSp,Brinberg LLC,Nordvik Infrastructure Growth Markets Fund II SCSp - Class A
Nordvik Infrastructure Growth Markets Fund II SCSp,Green Wickfield (REM) Private Assets MOZ Holding Class B (CUC) LLC,Nordvik Infrastructure Growth Markets Fund II SCSp - Class A
Nordvik Infrastructure Growth Markets Fund II SCSp,Green Wickfield (Trust) Private Assets Class B (JEZ) LLC,Nordvik Infrastructure Growth Markets Fund II SCSp - Class A
Nordvik Infrastructure Growth Markets Fund II SCSp,"Bramwick Climate Capital II, LLC",Nordvik Infrastructure Growth Markets Fund II SCSp - Class A
Nordvik Infrastructure Growth Markets Fund II SCSp,"Ravwick Capital Renfield, LLC",Nordvik Infrastructure Growth Markets Fund II SCSp - Class A
Nordvik Infrastructure Growth Markets Fund II SCSp,ZIX SCSp,Nordvik Infrastructure Growth Markets Fund II SCSp - Class A
Nordvik Infrastructure Growth Markets Fund II SCSp,Lindvale Alternative Investment Fund – Climate I,Nordvik Infrastructure Growth Markets Fund II SCSp - Class A
Nordvik Infrastructure Growth Markets Fund II SCSp,"Non-Landale Portfolio, L.P.",Nordvik Infrastructure Growth Markets Fund II SCSp - Class A
Nordvik Infrastructure Growth Markets Fund II SCSp,"Non-Landale Portfolio, L.P.",Nordvik Infrastructure Growth Markets Fund II SCSp - Class A
Nordvik Infrastructure Growth Markets Fund II SCSp,Wickdale Pensionsforsikringsaktieselskab,Nordvik Infrastructure Growth Markets Fund II SCSp - Class A
Nordvik Infrastructure Growth Markets Fund II SCSp,"KIS Private Equity S.A., SICAV-RAIF – Teilfonds Tarnbury",Nordvik Infrastructure Growth Markets Fund II SCSp - Class A
Nordvik Infrastructure Growth Markets Fund II SCSp,MED Skarsshaw SCS SICAV-RAIF,Nordvik Infrastructure Growth Markets Fund II SCSp - Class A
Nordvik Infrastructure Growth Markets Fund II SCSp,Aeroven Wind Systems A/S,Nordvik Infrastructure Growth Markets Fund II SCSp - Class A
