Legal Entity,Deal Name,Deal Currency,Position,Issuer Name,Issuer Currency,Security Name,Security ID,Security Currency,Security Type,Secondary Security Identifier,,,,,,,
AGP NI Co-Invest I SCSp,NI V Sponsor Investor PD K/S - USD,USD,NI V Sponsor Investor PD K/S - USD (NI V US D LP(Storage Portfolio II(Equity))),NI V Sponsor Investor PD K/S - USD,USD,NI V Sponsor Investor PD K/S - USD (NI V US D LP(Storage Portfolio II(Equity))),18391,USD,Equity,,,,,,,,
AGP NI Co-Invest I SCSp,NI V Sponsor Investor PD K/S - USD,USD,NI V Sponsor Investor PD K/S - USD (Agatestone Grove I (Equity)),NI V Sponsor Investor PD K/S - USD,USD,NI V Sponsor Investor PD K/S - USD (Agatestone Grove I (Equity)),16031,USD,Equity,,,,,,,,
AGP NI Co-Invest I SCSp,NI V Sponsor Investor PD K/S - USD,USD,NI V Sponsor Investor PD K/S - USD (Agatestone Grove I (Funding Loan)),NI V Sponsor Investor PD K/S - USD,USD,NI V Sponsor Investor PD K/S - USD (Agatestone Grove I (Funding Loan)),16085,USD,Funding loan,,,,,,,,
AGP NI Co-Invest I SCSp,NI V Sponsor Investor PD K/S - USD,USD,NI V Sponsor Investor PD K/S - USD (Agatestone Grove II (Equity)),NI V Sponsor Investor PD K/S - USD,USD,NI V Sponsor Investor PD K/S - USD (Agatestone Grove II (Equity)),16038,USD,Equity,,,,,,,,
AGP NI Co-Invest I SCSp,NI V Sponsor Investor PD K/S - USD,USD,NI V Sponsor Investor PD K/S - USD (Agatestone Grove II (Funding Loan)),NI V Sponsor Investor PD K/S - USD,USD,NI V Sponsor Investor PD K/S - USD (Agatestone Grove II (Funding Loan)),16086,USD,Funding loan,,,,,,,,
AGP NI Co-Invest I SCSp,NI V Sponsor Investor US K/S - USD,USD,NI V Sponsor Investor US K/S - USD (NI V US A LP (Storage Portfolio II(Equity))),NI V Sponsor Investor US K/S - USD,USD,NI V Sponsor Investor US K/S - USD (NI V US A LP (Storage Portfolio II(Equity))),18381,USD,Equity,,,,,,,,
AGP NI Co-Invest I SCSp,NI V Sponsor Investor US K/S - USD,USD,NI V Sponsor Investor US K/S - USD (NI V US B LP(Storage Portfolio II(Equity))),NI V Sponsor Investor US K/S - USD,USD,NI V Sponsor Investor US K/S - USD (NI V US B LP(Storage Portfolio II(Equity))),18382,USD,Equity,,,,,,,,
AGP NI Co-Invest I SCSp,NI V Sponsor Investor US K/S - USD,USD,NI V Sponsor Investor US K/S - USD (NI V US C LP(Storage Portfolio II(Equity))),NI V Sponsor Investor US K/S - USD,USD,NI V Sponsor Investor US K/S - USD (NI V US C LP(Storage Portfolio II(Equity))),18383,USD,Equity,,,,,,,,
AGP NI Co-Invest I SCSp,NI V Sponsor Investor US K/S - USD,USD,NI V Sponsor Investor US K/S - USD (NI V US D LP(Storage Portfolio II(Equity))),NI V Sponsor Investor US K/S - USD,USD,NI V Sponsor Investor US K/S - USD (NI V US D LP(Storage Portfolio II(Equity))),18384,USD,Equity,,,,,,,,
AGP NI Co-Invest I SCSp,NI V Sponsor Investor US K/S - USD,USD,NI V Sponsor Investor US K/S - USD (Agatestone Grove I (Equity)),NI V Sponsor Investor US K/S - USD,USD,NI V Sponsor Investor US K/S - USD (Agatestone Grove I (Equity)),16033,USD,Equity,,,,,,,,
AGP NI Co-Invest I SCSp,NI V Sponsor Investor US K/S - USD,USD,NI V Sponsor Investor US K/S - USD (Agatestone Grove I (Funding Loan)),NI V Sponsor Investor US K/S - USD,USD,NI V Sponsor Investor US K/S - USD (Agatestone Grove I (Funding Loan)),16088,USD,Funding loan,,,,,,,,
AGP NI Co-Invest I SCSp,NI V Sponsor Investor US K/S - USD,USD,NI V Sponsor Investor US K/S - USD (Agatestone Grove II (Equity)),NI V Sponsor Investor US K/S - USD,USD,NI V Sponsor Investor US K/S - USD (Agatestone Grove II (Equity)),16039,USD,Equity,,,,,,,,
AGP NI Co-Invest I SCSp,NI V Sponsor Investor US K/S - USD,USD,NI V Sponsor Investor US K/S - USD (Agatestone Grove II (Funding Loan)),NI V Sponsor Investor US K/S - USD,USD,NI V Sponsor Investor US K/S - USD (Agatestone Grove II (Funding Loan)),16087,USD,Funding loan,,,,,,,,
AGP NI Co-Invest I SCSp,NI V US A USD SCSp - USD,USD,NI V US A USD SCSp - USD (California North Floating (Funding Loan)),NI V US A USD SCSp - USD,USD,NI V US A USD SCSp - USD (California North Floating (Funding Loan)),16074,USD,Funding loan,,,,,,,,
AGP NI Co-Invest I SCSp,NI V US A USD SCSp - USD,USD,NI V US A USD SCSp - USD (Alcyone BESS (Funding Loan)),NI V US A USD SCSp - USD,USD,NI V US A USD SCSp - USD (Alcyone BESS (Funding Loan)),15878,USD,Funding loan,,,,,,,,
AGP NI Co-Invest I SCSp,NI V US A USD SCSp - USD,USD,NI V US A USD SCSp - USD (Agatestone Grove I (Equity)),NI V US A USD SCSp - USD,USD,NI V US A USD SCSp - USD (Agatestone Grove I (Equity)),16030,USD,Equity,,,,,,,,
AGP NI Co-Invest I SCSp,NI V US A USD SCSp - USD,USD,NI V US A USD SCSp - USD (Agatestone Grove I (Funding Loan)),NI V US A USD SCSp - USD,USD,NI V US A USD SCSp - USD (Agatestone Grove I (Funding Loan)),16079,USD,Funding loan,,,,,,,,
AGP NI Co-Invest I SCSp,NI V US A USD SCSp - USD,USD,NI V US A USD SCSp - USD (Agatestone Grove II (Equity)),NI V US A USD SCSp - USD,USD,NI V US A USD SCSp - USD (Agatestone Grove II (Equity)),16034,USD,Equity,,,,,,,,
AGP NI Co-Invest I SCSp,NI V US A USD SCSp - USD,USD,NI V US A USD SCSp - USD (Agatestone Grove II (Funding Loan)),NI V US A USD SCSp - USD,USD,NI V US A USD SCSp - USD (Agatestone Grove II (Funding Loan)),16078,USD,Funding loan,,,,,,,,
AGP NI Co-Invest I SCSp,NI V US A USD SCSp - USD,USD,NI V US A USD SCSp - USD (Firnwind Cravenhill (Funding Loan)),NI V US A USD SCSp - USD,USD,NI V US A USD SCSp - USD (Firnwind Cravenhill (Funding Loan)),15571,USD,Funding loan,,,,,,,,
AGP NI Co-Invest I SCSp,NI V US B USD SCSp - USD,USD,NI V US B USD SCSp - USD (California North Floating (Funding Loan)),NI V US B USD SCSp - USD,USD,NI V US B USD SCSp - USD (California North Floating (Funding Loan)),16075,USD,Funding loan,,,,,,,,
AGP NI Co-Invest I SCSp,NI V US B USD SCSp - USD,USD,NI V US B USD SCSp - USD (Ampelos Bess (Funding loan)),NI V US B USD SCSp - USD,USD,NI V US B USD SCSp - USD (Ampelos Bess (Funding loan)),15876,USD,Funding loan,,,,,,,,
AGP NI Co-Invest I SCSp,NI V US B USD SCSp - USD,USD,NI V US B USD SCSp - USD (Agatestone Grove I (Equity)),NI V US B USD SCSp - USD,USD,NI V US B USD SCSp - USD (Agatestone Grove I (Equity)),16029,USD,Equity,,,,,,,,
AGP NI Co-Invest I SCSp,NI V US B USD SCSp - USD,USD,NI V US B USD SCSp - USD (Agatestone Grove I (Funding Loan)),NI V US B USD SCSp - USD,USD,NI V US B USD SCSp - USD (Agatestone Grove I (Funding Loan)),16077,USD,Funding loan,,,,,,,,
AGP NI Co-Invest I SCSp,NI V US B USD SCSp - USD,USD,NI V US B USD SCSp - USD (Agatestone Grove II (Equity)),NI V US B USD SCSp - USD,USD,NI V US B USD SCSp - USD (Agatestone Grove II (Equity)),16037,USD,Equity,,,,,,,,
AGP NI Co-Invest I SCSp,NI V US B USD SCSp - USD,USD,NI V US B USD SCSp - USD (Agatestone Grove II (Funding Loan)),NI V US B USD SCSp - USD,USD,NI V US B USD SCSp - USD (Agatestone Grove II (Funding Loan)),16076,USD,Funding loan,,,,,,,,
AGP NI Co-Invest I SCSp,NI V US B USD SCSp - USD,USD,NI V US B USD SCSp - USD (Firnwind Cravenhill (Funding Loan)),NI V US B USD SCSp - USD,USD,NI V US B USD SCSp - USD (Firnwind Cravenhill (Funding Loan)),15572,USD,Funding loan,,,,,,,,
AGP NI Co-Invest I SCSp,NI V US Non QFPF EUR SCSp - USD,USD,NI V US Non QFPF EUR SCSp - USD (Agatestone Grove I (Equity)),NI V US Non QFPF EUR SCSp - USD,USD,NI V US Non QFPF EUR SCSp - USD (Agatestone Grove I (Equity)),16027,USD,Equity,,,,,,,,
AGP NI Co-Invest I SCSp,NI V US Non QFPF EUR SCSp - USD,USD,NI V US Non QFPF EUR SCSp - USD (Agatestone Grove II (Equity)),NI V US Non QFPF EUR SCSp - USD,USD,NI V US Non QFPF EUR SCSp - USD (Agatestone Grove II (Equity)),16035,USD,Equity,,,,,,,,
AGP NI Co-Invest I SCSp,NI V US QFPF EUR SCSp - USD,USD,NI V US QFPF EUR SCSp - USD (California North Floating (Funding Loan)),NI V US QFPF EUR SCSp - USD,USD,NI V US QFPF EUR SCSp - USD (California North Floating (Funding Loan)),16080,USD,Funding loan,,,,,,,,
AGP NI Co-Invest I SCSp,NI V US QFPF EUR SCSp - USD,USD,NI V US QFPF EUR SCSp - USD (Fjordvik Wind (Funding Loan)),NI V US QFPF EUR SCSp - USD,USD,NI V US QFPF EUR SCSp - USD (Fjordvik Wind (Funding Loan)),15774,USD,Funding loan,,,,,,,,
AGP NI Co-Invest I SCSp,NI V US QFPF EUR SCSp - USD,USD,NI V US QFPF EUR SCSp - USD (NI V US QFPF EUR SCSP (Equity)),NI V US QFPF EUR SCSp - USD,USD,NI V US QFPF EUR SCSp - USD (NI V US QFPF EUR SCSP (Equity)),20376,USD,Equity,,,,,,,,
AGP NI Co-Invest I SCSp,NI V US QFPF EUR SCSp - USD,USD,NI V US QFPF EUR SCSp - USD (NI V US QFPF EUR SCSP),NI V US QFPF EUR SCSp - USD,USD,NI V US QFPF EUR SCSp - USD (NI V US QFPF EUR SCSP),20374,USD,Equity,,,,,,,,
AGP NI Co-Invest I SCSp,NI V US QFPF EUR SCSp - USD,USD,NI V US QFPF EUR SCSp - USD (Ampelos BESS (Funding Loan)),NI V US QFPF EUR SCSp - USD,USD,NI V US QFPF EUR SCSp - USD (Ampelos BESS (Funding Loan)),15875,USD,Funding loan,,,,,,,,
AGP NI Co-Invest I SCSp,NI V US QFPF EUR SCSp - USD,USD,NI V US QFPF EUR SCSp - USD (Agatestone Grove I (Equity)),NI V US QFPF EUR SCSp - USD,USD,NI V US QFPF EUR SCSp - USD (Agatestone Grove I (Equity)),16028,USD,Equity,,,,,,,,
AGP NI Co-Invest I SCSp,NI V US QFPF EUR SCSp - USD,USD,NI V US QFPF EUR SCSp - USD (Agatestone Grove I (Funding Loan)),NI V US QFPF EUR SCSp - USD,USD,NI V US QFPF EUR SCSp - USD (Agatestone Grove I (Funding Loan)),16082,USD,Funding loan,,,,,,,,
AGP NI Co-Invest I SCSp,NI V US QFPF EUR SCSp - USD,USD,NI V US QFPF EUR SCSp - USD (Agatestone Grove II (Equity)),NI V US QFPF EUR SCSp - USD,USD,NI V US QFPF EUR SCSp - USD (Agatestone Grove II (Equity)),16036,USD,Equity,,,,,,,,
AGP NI Co-Invest I SCSp,NI V US QFPF EUR SCSp - USD,USD,NI V US QFPF EUR SCSp - USD (Agatestone Grove II (Funding Loan)),NI V US QFPF EUR SCSp - USD,USD,NI V US QFPF EUR SCSp - USD (Agatestone Grove II (Funding Loan)),16081,USD,Funding loan,,,,,,,,
AGP NI Co-Invest I SCSp,NI V US QFPF EUR SCSp - USD,USD,NI V US QFPF EUR SCSp - USD (Firnwind Cravenhill (Funding Loan)),NI V US QFPF EUR SCSp - USD,USD,NI V US QFPF EUR SCSp - USD (Firnwind Cravenhill (Funding Loan)),15573,USD,Funding loan,,,,,,,,
AGP NI Co-Invest I SCSp,Agatestone Grove 2 HoldCo LLC,USD,Agatestone Grove 2 HoldCo LLC (Agatestone Grove 2 LLC (Agatestone Grove II) (Equity)),Agatestone Grove 2 HoldCo LLC,USD,Agatestone Grove 2 HoldCo LLC (Agatestone Grove 2 LLC (Agatestone Grove II) (Equity)),19993,USD,Equity,,,,,,,,
AGP NI Co-Invest I SCSp,Agatestone Grove 2 HoldCo LLC,USD,Agatestone Grove 2 HoldCo LLC (Agatestone Grove 2 LLC (Agatestone Grove II) (Funding Loan)),Agatestone Grove 2 HoldCo LLC,USD,Agatestone Grove 2 HoldCo LLC (Agatestone Grove 2 LLC (Agatestone Grove II) (Funding Loan)),19992,USD,Funding loan,,,,,,,,
AGP NI Co-Invest I SCSp,Agatestone Grove DevCo LLC - USD,USD,Agatestone Grove DevCo LLC - USD (Agatestone Grove DevCo LLC (Agatestone Grove (Funding Loan))),Agatestone Grove DevCo LLC - USD,USD,Agatestone Grove DevCo LLC - USD (Agatestone Grove DevCo LLC (Agatestone Grove (Funding Loan))),25536,USD,Funding loan,,,,,,,,
AGP NI Co-Invest I SCSp,Agatestone Grove DevCo LLC - USD,USD,Agatestone Grove DevCo LLC - USD (Agatestone Grove DevCo LLC (Agatestone Grove II (Funding Loan))),Agatestone Grove DevCo LLC - USD,USD,Agatestone Grove DevCo LLC - USD (Agatestone Grove DevCo LLC (Agatestone Grove II (Funding Loan))),25540,USD,Funding loan,,,,,,,,
AGP NI Co-Invest I SCSp,Agatestone Grove Wind LLC - EUR,EUR,Agatestone Grove Wind LLC - EUR (Agatestone Grove Wind LLC (Agatestone Grove (Equity))),Agatestone Grove Wind LLC - EUR,EUR,Agatestone Grove Wind LLC - EUR (Agatestone Grove Wind LLC (Agatestone Grove (Equity))),18069,EUR,Equity,,,,,,,,
AGP NI Co-Invest I SCSp,Agatestone Grove Wind LLC - USD,USD,Agatestone Grove Wind LLC - USD (Agatestone Grove Wind LLC (Agatestone Grove (Equity))),Agatestone Grove Wind LLC - USD,USD,Agatestone Grove Wind LLC - USD (Agatestone Grove Wind LLC (Agatestone Grove (Equity))),15654,USD,Equity,,,,,,,,
AGP NI Co-Invest I SCSp,Agatestone Grove Wind LLC - USD,USD,Agatestone Grove Wind LLC - USD (Agatestone Grove Wind LLC (Agatestone Grove (Funding Loan))),Agatestone Grove Wind LLC - USD,USD,Agatestone Grove Wind LLC - USD (Agatestone Grove Wind LLC (Agatestone Grove (Funding Loan))),15579,USD,Funding loan,,,,,,,,
DKP NI Co-Invest K/S,NI GMF II Coöperatief U.A. - EUR,EUR,NI GMF II Coöperatief U.A. - EUR - Salcombe (Equity),NI GMF II Coöperatief U.A. - EUR - Salcombe,EUR,NI GMF II Coöperatief U.A. - EUR - Salcombe (Equity),14177,USD,Equity,,,,,,,,
DKP NI Co-Invest K/S,NI GMF II Coöperatief U.A. - EUR,EUR,NI GMF II Coöperatief U.A. - EUR - Skadi (Equity),NI GMF II Coöperatief U.A. - EUR - Skadi,EUR,NI GMF II Coöperatief U.A. - EUR - Skadi (Equity),14179,USD,Equity,,,,,,,,
DKP NI Co-Invest K/S,NI GMF II Coöperatief U.A. - EUR,EUR,NI GMF II Coöperatief U.A. - EUR (Inverclyde I – PGN (Equity)),NI GMF II Coöperatief U.A. - EUR,EUR,NI GMF II Coöperatief U.A. - EUR (Inverclyde I – PGN (Equity)),19441,EUR,Equity,,,,,,,,
DKP NI Co-Invest K/S,NI GMF II Coöperatief U.A. - EUR,EUR,NI GMF II Coöperatief U.A. - EUR (NI GMF II Salcombe Sea HoldCo Coop (Salcombe) (Equity)),NI GMF II Coöperatief U.A. - EUR,EUR,NI GMF II Coöperatief U.A. - EUR (NI GMF II Salcombe Sea HoldCo Coop (Salcombe) (Equity)),15545,EUR,Equity,,,,,,,,
DKP NI Co-Invest K/S,NI GMF II Coöperatief U.A. - EUR,EUR,NI GMF II Coöperatief U.A. - EUR (NI GMF II Estonia Sea I HoldCo Coöperatief U.A.) (Skadi (Equity)),NI GMF II Coöperatief U.A. - EUR (NI GMF II Estonia Sea I HoldCo Coöperatief U.A.),EUR,NI GMF II Coöperatief U.A. - EUR (NI GMF II Estonia Sea I HoldCo Coöperatief U.A.) (Skadi (Equity)),15022,EUR,Equity,,,,,,,,
DKP NI Co-Invest K/S,NI GMF II Coöperatief U.A. - EUR,EUR,NI GMF II Coöperatief U.A. - EUR (NI GMF II Basaltic HoldCo BV (Basaltic II (Funding loan)),NI GMF II Coöperatief U.A. - EUR,EUR,NI GMF II Coöperatief U.A. - EUR (NI GMF II Basaltic HoldCo BV (Basaltic II (Funding loan)),15299,EUR,Funding loan,,,,,,,,
DKP NI Co-Invest K/S,NI GMF II Coöperatief U.A. - EUR,EUR,NI GMF II Coöperatief U.A. - EUR (NI GMF II Basaltic HoldCo BV) (Basaltic II (Equity)),NI GMF II Coöperatief U.A. - EUR (NI GMF II Basaltic HoldCo BV),EUR,NI GMF II Coöperatief U.A. - EUR (NI GMF II Basaltic HoldCo BV) (Basaltic II (Equity)),15010,EUR,Equity,,,,,,,,
DKP NI Co-Invest K/S,NI GMF II Coöperatief U.A. - EUR,EUR,NI GMF II Coöperatief U.A. - EUR (NI NMF Estonia Sea I HoldCo Coöperatief U.A.) (Skadi (Equity)),NI GMF II Coöperatief U.A. - EUR (NI NMF Estonia Sea I HoldCo Coöperatief U.A.),EUR,NI GMF II Coöperatief U.A. - EUR (NI NMF Estonia Sea I HoldCo Coöperatief U.A.) (Skadi (Equity)),14178,USD,Equity,,,,,,,,
DKP NI Co-Invest K/S,NI GMF II Coöperatief U.A. - EUR,EUR,NI GMF II Coöperatief U.A. - EUR (NI NMF I Salcombe Sea HoldCo Coop U.A.) (Salcombe (Equity)),NI GMF II Coöperatief U.A. - EUR (NI NMF I Salcombe Sea HoldCo Coop U.A.),EUR,NI GMF II Coöperatief U.A. - EUR (NI NMF I Salcombe Sea HoldCo Coop U.A.) (Salcombe (Equity)),14176,USD,Equity,,,,,,,,
DKP NI Co-Invest K/S,NI GMF II Coöperatief U.A. - EUR,EUR,NI GMF II Coöperatief U.A. - EUR (Equity),NI GMF II Coöperatief U.A. - EUR,EUR,NI GMF II Coöperatief U.A. - EUR (Equity),22156,EUR,Equity,,,,,,,,
DKP NI Co-Invest K/S,NI GMF II Coöperatief U.A. - EUR,EUR,NI GMF II Coöperatief U.A. - EUR (Skadi Estonia HoldCo C.V.) (Skadi (Equity)),NI GMF II Coöperatief U.A. - EUR (Skadi Estonia HoldCo C.V.),EUR,NI GMF II Coöperatief U.A. - EUR (Skadi Estonia HoldCo C.V.) (Skadi (Equity)),14181,USD,Equity,,,,,,,,
DKP NI Co-Invest K/S,NI GMF II Coöperatief U.A. - EUR,EUR,NI GMF II Coöperatief U.A. - EUR (Funding Loan),NI GMF II Coöperatief U.A. - EUR,EUR,NI GMF II Coöperatief U.A. - EUR (Funding Loan),25535,EUR,Funding loan,,,,,,,,
DKP NI Co-Invest K/S,NI GMF II Coöperatief U.A. - EUR,EUR,NI GMF II Coöperatief U.A. - EUR (Kurogane Partnership NMF I (Equity)),NI GMF II Coöperatief U.A. - EUR,EUR,NI GMF II Coöperatief U.A. - EUR (Kurogane Partnership NMF I (Equity)),16749,EUR,Equity,,,,,,,,
DKP NI Co-Invest K/S,NI GMF II Coöperatief U.A. - EUR,EUR,NI GMF II Coöperatief U.A. - EUR (HV Strategy NMF I (Equity)),NI GMF II Coöperatief U.A. - EUR,EUR,NI GMF II Coöperatief U.A. - EUR (HV Strategy NMF I (Equity)),15231,EUR,Equity,,,,,,,,
DKP NI Co-Invest K/S,NI GMF II Coöperatief U.A. - EUR,EUR,NI GMF II Coöperatief U.A. - EUR (OFW-LT-1 (Equity)),NI GMF II Coöperatief U.A. - EUR,EUR,NI GMF II Coöperatief U.A. - EUR (OFW-LT-1 (Equity)),22155,EUR,Equity,,,,,,,,
DKP NI Co-Invest K/S,NI GMF II Coöperatief U.A. - EUR,EUR,NI GMF II Coöperatief U.A. - EUR (OFW-PL-1 (Equity)),NI GMF II Coöperatief U.A. - EUR,EUR,NI GMF II Coöperatief U.A. - EUR (OFW-PL-1 (Equity)),15292,EUR,Equity,,,,,,,,
DKP NI Co-Invest K/S,NI GMF II Coöperatief U.A. - EUR,EUR,NI GMF II Coöperatief U.A. - EUR (OVERHEAD (Equity)),NI GMF II Coöperatief U.A. - EUR,EUR,NI GMF II Coöperatief U.A. - EUR (OVERHEAD (Equity)),20432,EUR,Equity,,,,,,,,
DKP NI Co-Invest K/S,NI GMF II Coöperatief U.A. - EUR,EUR,NI GMF II Coöperatief U.A. - EUR (OVH NISC EU (Equity)),NI GMF II Coöperatief U.A. - EUR,EUR,NI GMF II Coöperatief U.A. - EUR (OVH NISC EU (Equity)),16124,EUR,Equity,,,,,,,,
DKP NI Co-Invest K/S,NI GMF II Coöperatief U.A. - EUR,EUR,NI GMF II Coöperatief U.A. - EUR (Basaltic II (Equity)),NI GMF II Coöperatief U.A. - EUR,EUR,NI GMF II Coöperatief U.A. - EUR (Basaltic II (Equity)),15050,EUR,Equity,,,,,,,,
DKP NI Co-Invest K/S,NI GMF II Coöperatief U.A. - EUR,EUR,NI GMF II Coöperatief U.A. - EUR (Project Hodur (Equity)),NI GMF II Coöperatief U.A. - EUR,EUR,NI GMF II Coöperatief U.A. - EUR (Project Hodur (Equity)),16750,EUR,Equity,,,,,,,,
DKP NI Co-Invest K/S,NI GMF II Coöperatief U.A. - EUR,EUR,NI GMF II Coöperatief U.A. - EUR (Supply Chain Environment NMF I (Equity)),NI GMF II Coöperatief U.A. - EUR,EUR,NI GMF II Coöperatief U.A. - EUR (Supply Chain Environment NMF I (Equity)),15610,EUR,Equity,,,,,,,,
DKP NI Co-Invest K/S,NI GMF II Coöperatief U.A. - EUR,EUR,NI GMF II Coöperatief U.A. - EUR (Aeroven COC NMF I (Equity)),NI GMF II Coöperatief U.A. - EUR,EUR,NI GMF II Coöperatief U.A. - EUR (Aeroven COC NMF I (Equity)),16679,EUR,Equity,,,,,,,,
DKP NI Co-Invest K/S,NI GMF II Coöperatief U.A. - EUR,EUR,NI GMF II Coöperatief U.A. - EUR (White Andesite (Equity)),NI GMF II Coöperatief U.A. - EUR,EUR,NI GMF II Coöperatief U.A. - EUR (White Andesite (Equity)),14961,EUR,Equity,,,,,,,,
DKP NI Co-Invest K/S,NI GMF II Coöperatief U.A. - EUR,EUR,NI GMF II Coöperatief U.A. (NI GMF II Transfer Coöperatief U.A. - EUR) (OVERHEAD),NI GMF II Coöperatief U.A. (NI GMF II Transfer Coöperatief U.A. - EUR),EUR,NI GMF II Coöperatief U.A. (NI GMF II Transfer Coöperatief U.A. - EUR) (OVERHEAD),20830,EUR,Equity,,,,,,,,
DKP NI Co-Invest K/S,NI GMF II Coöperatief U.A. - EUR,EUR,NI GMF II Estonia Sea I HoldCo Coöperatief U.A - EUR - Equity (Skadi),NI GMF II Estonia Sea I HoldCo Coöperatief U.A - EUR - Equity,EUR,NI GMF II Estonia Sea I HoldCo Coöperatief U.A - EUR - Equity (Skadi),14155,EUR,Equity,,,,,,,,
DKP NI Co-Invest K/S,Kyanite Power S.R.L. - EUR,EUR,Labradorite Power S.R.L. (Basaltic II (Funding Loan)),Labradorite Power S.R.L.,EUR,Labradorite Power S.R.L. (Basaltic II (Funding Loan)),25309,USD,Funding loan,,,,,,,,
Stanmore NI Co-Invest SCSp,NI Ranfjord SCSp,USD,NI Ranfjord SCSp - NI Ranfjord Ltd (Ranfjord (Equity)),NI Ranfjord SCSp - NI Ranfjord Ltd,USD,NI Ranfjord SCSp - NI Ranfjord Ltd (Ranfjord (Equity)),13446,USD,Equity,,,,,,,,
