Vendor,Most Used Project Code
Wickthorpe Denley (Amsterdam) - Non-LU,OH - LEGAL ASSISTANC
ACD,OH - BOARD MEMBER FE
Ellmont and Chalworth (USA) B.V. - Non-LU,OH - LEGAL ASSISTANC
CNMV - Non-LU,OH - LEGAL ASSISTANC
Etude Notaire Johanne Ottesen - LU,OH - LEGAL ASSISTANC
NISC Ltd - Non-LU,OH - PUBLIC AFFAIRS
NIP FUND SOLUTIONS APS - Non-LU,OH - FINANCE ASSISTA
POR Westberg Clanhurst - LU,OH - LEGAL ASSISTANC
Wickmont Financial Merrworth Ltd - Non-LU,OH - MEMBERSHIPS
Ellmont & Chalworth - LU,OH - LEGAL ASSISTANC
Steenstead-Brinwold - Non-LU,OH - LEGAL ASSISTANC
FEN LIMITED - Non-LU,OH - NDA CONSULTANCY
Wickcombe Brackshaw & Kirkbeck Spain S.L.U - Non-LU,OH - LEGAL ASSISTANC
Admini. de l Enregistrement - LU,OVERHEAD
Etude Notaire Torben Dalsgaard - LU,OH - LEGAL ASSISTANC
NI US Service Co Inc. - Non - LU,OH - PUBLIC AFFAIRS
Selthorpe Advisory P/S - Non-LU,OH - TAX ASSISTANC
Nordvik Infrastructure V GP ApS - Non LU,OH – GP RECHARGE
Rikke Fenger - LU,OH - BOARD MEMBER FE
NISC Pty Ltd - Australia,OH - PUBLIC AFFAIRS
Administration des contributions directes,OH - TAX ASSISTANC
Stannvale (Denmark) ApS - Non - LU,OH - DEPOSITARY
Eastfield,OH - LEGAL ASSISTANC
Ulla B. Hillebrandt Consulting - Non-LU,ABF II Fundraising
Ida Palsgaard - LU,OH - BOARD MEMBER FE
Grenfield LLP - Non-LU,OH - LEGAL ASSISTANC
Havnvik Bank AS,OH - LEGAL ASSISTANC
Innberg - Non LU,OH - LEGAL ASSISTANC
Quardale LLP - Non-LU,OH - LEGAL ADVISORY
VANFORD N.V. - NON-LU,OH - LEGAL ASSISTANC
MAG,OH - ADMIN FEES
Innberg LLP - LU,OH - LEGAL ASSISTANC
Nordvik Streaming - Non - LU,OH - CONFERENCE
Haslwick Carrfield Renbury LLP - Non-LU,OH - LEGAL ASSISTANC
Hanne hollmont Quargarth LIT - Non LU,OH - LEGAL ASSISTANC
NIP Inc. - Non-LU,OH - TRAVEL COST
Chambre de Commerce,OH - MEMBERSHIPS
"Brenneke, Hanne and Partner mbB - Non - LU",OH - TAX ASSISTANC
NI Offshore Wind Korea Co. Ltd - Non - LU,OH - PUBLIC AFFAIRS
FUZ - Non-LU,OH - ESG
Jakob Dohrmann - LU,OH - LEGAL ASSISTANC
Aldervale Aps - Non-LU,MIZAR
NI CLOUDBERRY BESS TRUST - Non- LU,Project Mimir
HOLLSTEAD MERRCOMBE SL - NON-LU,OH - TAX ASSISTANC
Me Emil Hasselvik,OH - LEGAL ASSISTANC
Hanne & Quargarth LLP (US),OH - TAX ASSISTANC
MAG Global Solutions - LU,OH - ADMIN FEES
QED Law Offices (Steenholm) - Non LU,OH - LEGAL ASSISTANC
Danish Chamber of Commerce China - Non-LU,OH - MEMBERSHIPS
Nordholt Management Consulting A/S - Non-LU,OH - ESG
Pernille Gitte Grothe -Non-LU,OH - PORTFOLIO TRANS
Renewables Capital Association Limited - Non-LU,OH - MEMBERSHIPS
FUL Stanfield Tax (DK) - Non-LU,OVERHEAD
SPGX Global Zellthorpe Merrworth Lt - Non - LU,OH - FINANCE ASSISTA
FUL P/S - Non-LU,OH - FINANCE ASSISTA
Haldholm Fennwick ApS - Non - LU,OH - TRAVEL COST
Ashgarth Advisory Pty Ltd - Non-LU,OH - PUBLIC AFFAIRS
MOC Notai - Non-LU,OH - LEGAL ASSISTANC
Larchvale Umbford - Non-LU,OH - LEGAL ASSISTANC
DATAROOMLY UK LTD - NON LU,POLLUX
FUL US Tax Services (London) LLP - Non-LU,OH - TAX ADVISORY
Zellmont Media Limited,OH - MEMBERSHIPS
Aldervale ApS Non-LU,OH - LEGAL ASSISTANC
Fennford Fairford DEUTSCHLAND LLP - Non-LU,OH - LEGAL ASSISTANC
"Ravenscombe Oakworth Associates, Inc. - Non-LU",Holloway
WAP Translations,OH - LEGAL ASSISTANC
Skarsvale GmbH - Non - LU,OH - ESG
Steenvale y Grenwold Denthorpe - Non - LU,OH - LEGAL ASSISTANC
Oakwold Kirkwick - Non LU,OH - LEGAL ASSISTANC
BAC A/S - Non-Lu,CATHCART AND STONECHAT
NIP Fund Solution ApS - Non-LU,OH - FS Entity MNG
"BRACKMERE, REDDALE & CALDWICK S.E.N.C.R.L./S.R.L. - Non - LU",OH - LEGAL ASSISTANC
Havmere and Losholm Abogados SAS - Non-LU,OH - LEGAL ASSISTANC
Danish Institute of Arbitration - Non-LU,OH - LEGAL ASSISTANC
Kirkmere Assurance - Non-LU,Project Linnet
GRSX B.V - Non - LU,OH - MEMBERSHIPS
Rengarth Ravdale LLP - Non LU,OH - LEGAL ASSISTANC
Caldthorpe Eddbeck LLP - Non-LU,OH - LEGAL ASSISTANC
Financial Market Authority - Non-LU,OH - FINANCE ADVISOR
Merete Gronbaek - Non-LU,OH - BOARD MEMBER FE
CIG,OH - FINANCE ASSISTA
Boardwell - Non-LU,OVERHEAD
Norcombe - LU,OH - ADMIN FEES
Eddstead and Zellmere LLP -Non-LU,OH - LEGAL ASSISTANC
"Corveldt USA, LLC",OH - ADMIN FEES
HAP Fairgarth BV - Non-Lu,OH - LEGAL ASSISTANC
Trentbeck Consulting Pty Ltd - Non-LU,Project Mimir
FUL - Non-LU,OH - LEGAL ASSISTANC
BRACKFORD LOSWOLD CJSC - Non-LU,OH - LEGAL ASSISTANC
CECILIE TAZ - Non - LU,OH - LEGAL ASSISTANC
TOD DENMARK A/S - NON-LU,Project Mimir
VANSTEAD RENEWABLE ENERGY COUNCIL- NON - LU,OH - MEMBERSHIPS
MOK SRL - Non-Lu,OH - LEGAL ASSISTANC
Ormhurst Consulting Limited - Non-LU,OH - TRAVEL COST
"Kirkstead Nethberg Lindberg S,C - Non-LU",OH - LEGAL ASSISTANC
Caldstead - Non - LU,CATHCART AND STONECHAT
Ormmere-Kirkshaw Abogados - Non - LU,Capital Energy
The Ostdale Firm APS - Non-LU,OH - STRATEGY
Malene Uggla,OH - LEGAL ASSISTANC
The Vantle Advisory Group Ltd - Non - LU,OH - LEGAL ASSISTANC
Fennberg Ashmere & Partners - Non-LU,OH - FUND ESTABLISH
Studio Notarile De Kjeldsen - Non-LU,OH - LEGAL ASSISTANC
KOP POWER PARTNERS AS - NON LU,Verhof
OAKHURST CAPITAL PTY LTD - NON-LU,Project Mimir
S and S Umbfield - LU,OH - ADMIN FEES
S. Vindeby&co - Non-LU,OH - LEGAL ASSISTANC
Freja Moerch - Non LU,OH - BOARD MEMBER FE
MOT AND MOT ATTORNEYS LTD - NON LU,OH - LEGAL ASSISTANC
GELMERE - Davdale Al Glanhurst and Partners - Non-LU,OH - LEGAL ASSISTANC
Carrcombe Energy Research LLC,OH - MEMBERSHIPS
Roskcombe Investment Management SE - NON LU,OH - IP COST
STUDIO LEGALE ASSOCIATO AD INNBERG LLP - Non LU,OH - LEGAL ASSISTANC
Bramworth,OH - LEGAL ASSISTANC
Brackvale Group SA - LU,OVERHEAD
RAQ Marbeck Communications - Non-LU,OH - FUND ESTABLISH
Carrmere Merrwold - Non-LU,OH - LEGAL ASSISTANC
Carrmere Brackgarth and Denwold LLP - Non - LU,OH - LEGAL ASSISTANC
RENSTEAD MANAGEMENT AUSTRALIA - Non-Lu,OH - PUBLIC AFFAIRS
Haldhurst Stroudcombe Garrshaw Inc - Non-LU,OH - LEGAL ADVISORY
NI ABF I DevCo ApS,FOSSVIK
SEW & Ko - Non LU,OH - LEGAL ASSISTANC
Interlynk Inc - Non-LU,OH - IT COSTS
Verrthorpe Finance B.V. - Non-LU,OH - FINANCE ASSISTA
Ivar-Oskar Ahlmark-LU,OH - LEGAL ASSISTANC
DATAROOMLY UK LTD - NON-LU,AGATESTONE GROVE I
FUL Australian - Non-LU,OH - TAX ASSISTANC
"Selholm 360, Inc. - Non-LU",NAERVIK
XIR and Lanholm - Non - LU,OH - LEGAL ASSISTANC
Nordvik Offshore Partners A/S - Non - LU,OH - FINANCE ASSISTA
Zellwick Attorneys Ltd - Non - LU,OH - LEGAL ASSISTANC
Lanford i Tarncombe - Non-LU,OH - MEMBERSHIPS
LIK LANGUAGE SOLUTIONS SARL - LU,OH - LEGAL ASSISTANC
Danish-Chinese Business Forum - Non-LU,OH - MEMBERSHIPS
"Oakmont Y Glancombe Lanley, S.L - Non - LU",Capital Energy
GRIDWORKS ALLIANCE AU LTD - Non-LU,OH - MEMBERSHIPS
Fennford Fairford Brinbeck mbB - Non-LU,OH - LEGAL ASSISTANC
International Energy Agency - Non LU,OH - MEMBERSHIPS
Renewables Sector Council - Non-LU,OH - MEMBERSHIPS
Carrstead Brinworth - Non-LU,OH - FUND ESTABLISH
Wickmont Partners PartG MBB - Non -LU,OH - LEGAL ASSISTANC
VOSSGARTH CONTRACT FENNCOMBE - Non Lu,OH - CONFERENCE
Chamber of Commerce - LU,OH - MEMBERSHIPS
Garrgarth Oakdale Draymont - Non - LU,OH - LEGAL ASSISTANC
ORMDALE HASLBURY APAC Energy and Infrastructure Pty Ltd - Non-Lu,Project Mimir
CHALFIELD Aps - Non-LU,OH - MEDIA
Trentbeck LLP - Non LU,OH - GOVERNANCE
Trentbeck Tax Services Pty Ltd - Non - LU,OH - TAX ASSISTANC
KOW LUXEMBOURG 2.0 - LU,OH - LEGAL ASSISTANC
KOW Jerrthorpe Luxembourg - LU,OH - MEMBERSHIPS
Notare Yardmont Dunfield - Non-LU,OH - LEGAL ASSISTANC
Norcombe (Luxembourg) S.a r.l. - LU,OVERHEAD
Dunwold Steendale - Non-LU,OVERHEAD
Comision Nacional Del Mercado De Valores,OH - FINANCE ASSISTA
NI IV K/S,NI IV TO NI V TRANSF
NRV (DK) - NON-LU,OH - FINANCE ASSISTA
PIL LLC - NON LU,OH - LEGAL ASSISTANC
HIK BRACKFIELD AS - NON-LU,OH - PUBLIC AFFAIRS
Kirkthorpe & Marshaw Attorneys Ltd - Non-LU,VELARIS
PIG Quarvale ApS - Non-LU,OVERHEAD
KOL,OVERHEAD
