Legal Entity Domain,Bank Account
NIP,NI NKP Co-Invest I SCSp - Bregnholm_EUR_3149
NIP,NI NKP CO-Invest-Calder EUR 7302
NIP,NI SWIC Co-Invest Vehicle I SCSp - Calder - 1353
NIP,NI SWIC Co-Invest Vehicle I SCSp - Calder - 0251
NIP,NI SWIC Co-Invest Vehicle I SCSp - Calder - 2543
NIP,NI REG GP - Calder - EUR - 1333
NIP,NI Reg SCA SICAV-RAIF - Calder_EUR_0084
NIP,NI Reg SCSp SICAV-RAIF - Calder_EUR_5211
NIP,NI V CN SCSp - Havnvik - EUR - 3618
NIP,NI V CN SCSp - Calder - AUD 2041
NIP,NI V CN SCSp - Calder - CAD 0106
NIP,NI V CN SCSp - Calder - DKK 2538
NIP,NI V CN SCSp - Calder - EUR 8709
NIP,NI V CN SCSp - Calder - GBP 5339
NIP,NI V CN SCSp - Calder - JPY 9651
NIP,NI V CN SCSp - Calder - NOK 4240
NIP,NI V CN SCSp - Calder - NZD 4818
NIP,NI V CN SCSp - Calder - SEK 3536
NIP,NI V CN SCSp - Calder - USD 5560
NIP,NI V Co-Invest VEH A SCSp - Calder - CAD - 0023
NIP,NI V Co-Invest VEH A SCSp - Calder - DKK - 4727
NIP,NI V Co-Invest VEH A SCSp - Calder - EUR - 0423
NIP,NI V Co-Invest VEH A SCSp - Calder - GBP - 4816
NIP,NI V Co-Invest VEH A SCSp - Calder - USD - 4561
NIP,NI V Co-Invest VEH A SCSp - Bregnholm - EUR - 4358
NIP,NI V Co-Invest Vehicle A SCSp - Bregnholm - EUR- 0000
NIP,NI V Co-Invest Vehicle A SCSp - Bregnholm -USD - 2822
NIP,NI V Feeder SCA SICAV RAIF - Dankse - EUR - 2978
NIP,NI V Feeder SCA SICAV RAIF - Havnvik - USD - 9532
NIP,NI V Feeder SCA SICAV RAIF - Calder - EUR - 92422
NIP,NI V Feeder SCA SICAV-RAIF - B - Havnvik - EUR 4341
NIP,NI V FEEDER SCA SICAV-RAIF - B - Calder - EUR 6244
NIP,NI V Non-QFPF USD Feeder - Havnvik - EUR 4381
NIP,NI V Non-QFPF USD Feeder - Havnvik - USD 9817
NIP,NI V QFPF USD Feeder - Havnvik - EUR 2175
NIP,NI V QFPF USD Feeder - Havnvik - USD 5816
NIP,NI V SCA SICAV RAIF - Calder - EUR - 21066
NIP,NI V Sponsor US LP - Bregnholm - DKK - 6044269434
NIP,NI V US Non-QFPF EUR SCSp - Havnvik - USD - 4233
NIP,NI V USD Blocker - Havnvik - EUR 1388
NIP,NI V USD Blocker - Havnvik - USD 2858
NIP,NI V USD Feeder K/S - Calder - DKK - 4282
NIP,NI V USD Feeder K/S - Calder - EUR - 3321
NIP,NI V USD Feeder K/S - Calder - USD - 0850
NIP,NI V USD Feeder K/S-Havnvik - EUR - 0132
NIP,NI V USD Feeder K/S-Havnvik - USD - 2079
NIP,NIP – Inv Trans for Mark System
NIP,NIP V - Havnvik - AUD- 0175 55
NIP,NIP V - Havnvik - CAD - 13486
NIP,NIP V - Havnvik - DKK - 3369 76
NIP,NIP V - Havnvik - EUR - 4442 32
NIP,NIP V - Havnvik - EUR - 04791
NIP,NIP V - Havnvik - GBP - 32598
NIP,NIP V - Havnvik - JPY - 42233
NIP,NIP V - Havnvik - USD - 2133 68
NIP,NIP V - Havnvik - USD - 9210 49
NIP,NIP V - Calder - AUD - 0415
NIP,NIP V - Calder - CAD - 31532
NIP,NIP V - Calder - DKK - 0541
NIP,NIP V - Calder - EUR - 030041
NIP,NIP V - Calder - GBP - 3252
NIP,NIP V - Calder - JPY - 53070
NIP,NIP V - Calder - NZD - 41963
NIP,NIP V - Calder - SEK - 4220
NIP,NIP V - Calder - USD - 0103
NIP,NIP V - Bregnholm - EUR - 7498
NIP,NIP V EUR Blocker - Havnvik - EUR 1881
NIP,NIP V EUR Blocker - Calder - EUR 0843
NIP,NIP V GP - Havnvik - EUR - 0486 59
NIP,NIP V GP - Calder - EUR - 5033
NIP,NIP V GP I SCSp - Havnvik EUR - 6345
NIP,NIP V GP I SCSp - Calder EUR - 1211
NIP,NIP V NO SCSP - Havnvik - EUR - 5107
NIP,NIP V NO SCSP - Calder - EUR - 1253
NIP,NIP V QFPF USD Feeder - Calder - EUR - 15122
NIP,NIP V US A USD - Havnvik - EUR - 80448
NIP,NIP V US A USD - Havnvik - USD - 73755
NIP,NIP V US A USD - Calder - EUR - 28343
NIP,NIP V US A USD - Calder - USD - 01324
NIP,NIP V US B USD - Havnvik - EUR- 22513
NIP,NIP V US B USD - Havnvik - USD - 43439
NIP,NIP V US B USD - Calder - EUR - 75473
NIP,NIP V US B USD - Calder - USD - 15034
NIP,NIP V US Non-QFPF EUR - Havnvik - EUR - 4507
NIP,NIP V US Non-QFPF EUR - Havnvik - EUR - 51050
NIP,NIP V US Non-QFPF EUR - Havnvik - USD - 3135
NIP,NIP V US Non-QFPF EUR - Calder - EUR - 21454
NIP,NIP V US Non-QFPF EUR - Calder - USD - 43288
NIP,NIP V US Non-QFPF EUR BLOCKER - Calder - EUR - 77343
NIP,NIP V US Non-QFPF EUR Blocker - Calder - USD - 32855
NIP,NIP V US Non-QFPF USD Feeder - Calder - EUR - 08161
NIP,NIP V US QFPF EUR - Havnvik - EUR_52904
NIP,NIP V US QFPF EUR - Havnvik - USD_4519
NIP,NIP V US QFPF EUR - Havnvik - USD_14328
NIP,NIP V US QFPF EUR - Calder - EUR - 23365
NIP,NIP V US QFPF EUR - Calder - USD - 17020
NIP,NIP V USD Blocker Feeder - Calder - EUR - 08851
NIP,NIP V USD Feeder - Havnvik - EUR 3371
NIP,NIP V USD Feeder - Havnvik - USD - 5427
NIP,NIP V USD Feeder - Calder - EUR - 5212
NIP,NIP V USD Feeder - Calder - USD - 8862
NIP,D955-DKK-HVK-3953
NIP,D375-EUR-Calder-7122
NIP,D050-EUR-HVK-2525
NIP,D413-EUR-HVK-2431
NIP,RMK 0263 EUR
NIP,RMK 0792 EUR
NIP,HVK 3344 DKK
NIP,HVK NI Co-Invest KS - HVNK 8133 EUR
NIP,HVK NI Co-Invest KS - HVNK 5372 DKK
NIP,Freyr NI Co-Invest LP - Calder - CAD - 1624
NIP,Freyr NI Co-Invest LP - Calder - EUR - 1927
NIP,Freyr NI Co-Invest LP - Calder - EUR - 3324
NIP,Freyr NI Co-Invest LP - Calder - GBP - 2041
NIP,Freyr NI Co-Invest LP - Calder - USD - 5111
NIP,Freyr NI Co-Invest LP - Calder - USD - 3491
NIP,Magni NI Co-Invest SCSp - Calder DKK 5724
NIP,Magni NI Co-Invest SCSp - Calder EUR 1125
NIP,GMF II GP - Calder - EUR- 4641
NIP,GMF II GP - Calder - USD - 1091
NIP,Calder 0894 EUR
NIP,Calder 4192 USD
NIP,Calder 2810 DKK
NIP,Calder 8825 GBP
NIP,Calder 0061 EUR
NIP,IP NI Co-invest K/S - DKK-8550
NIP,IP NI Co-invest K/S - EUR-2939
NIP,IP NI Co-invest K/S - GBP-1969
NIP,Alcor - Calder - EUR - 1597
NIP,Kommanditselskabet - Bregnholm - DKK - 1417
NIP,Kommanditselskabet - Bregnholm - EUR - 7281
NIP,Alnair NI Co-Invest LP - Calder - EUR - 2916
NIP,Alnair NI Co-Invest LP - Calder - EUR - 1697
NIP,Alnair NI Co-Invest LP - Calder - USD - 1166
NIP,Avior NI Co-Invest SCSp - DKK - 1439
NIP,Avior NI Co-Invest SCSp - EUR - 5345
NIP,Avior NI Co-Invest SCSp - GBP - 0046
NIP,SCRF NI Co-Invest - Calder - EUR - 8299
NIP,SCRF NI Co-Invest GP - Calder - EUR - 3914
NIP,Whimbrel NI Co-Invest I SCSp - Calder - CAD - 1719
NIP,Whimbrel NI Co-Invest I SCSp - Calder - EUR - 6578
NIP,Whimbrel NI Co-Invest I SCSp - Calder - GBP - 4141
NIP,Woodruff NI Co-Invest SCSp - DKK - 2033
NIP,Woodruff NI Co-Invest SCSp - EUR - 4220
NIP,Woodruff NI Co-Invest SCSp - GBP - 1314
