Legal Entity Domain,Related Party
NIP,NI NMF I Merevale 19 HoldCo Coöperatief U.A.
NIP,NI Oceania Offshore Trust
NIP,NI Carnelian HoldCo Pty Ltd
NIP,NI Garnetfield HoldCo Pty Ltd
NIP,NI QLD PHES 1 Holdings Pty Ltd
NIP,NI REG GP S.a.r.l
NIP,NI REG GP S.a.r.l.
NIP,NI Regulated Energy Grids SCSp
NIP,NI Regulated Energy SCA SICAV-RAIF
NIP,NI Cloudberry Holding Trust
NIP,NI Cloudberry North Project Trust
NIP,NI V Bramshaw HoldCo Ltd.
NIP,NI V Bess OpCo LLC
NIP,NI V Fjordvik Wind Non-QFPF Inc
NIP,NI V Fjordvik Wind QFPF LLC
NIP,NI V CN SCSp
NIP,NI V Co-Invest Vehicle A SCSp
NIP,NI V Coöperatief U.A.
NIP,NI V DevCo ApS
NIP,NI V Kalvik Holdco Ltd
NIP,NI V Kalvik TopCo Limited.
NIP,NI V Fenrir Platform Coöperatief U.A.
NIP,NI V Energy DevCo LLC
NIP,NI V Energy Storage Co-invest Inc
NIP,NI V Energy Storage Co-Invest LP
NIP,NI V Energy Storage DevCo Non-QFPF Inc.
NIP,NI V Energy Storage DevCo QFPF LLC
NIP,NI V Sindri HoldCo SCSp
NIP,NI V Aether HoldCo GmbH
NIP,NI V Ampelos BESS LLC
NIP,NI V Ampelos HoldCo LLC
NIP,NI V GP I SCSP
NIP,NI V Tethys New Energy DevCo Ltd
NIP,NI V Investment GP Sarl
NIP,NI V Avocet TopCo Limited
NIP,NI V NO SCSp
NIP,NI V Offshore DevCo Non-QFPF Inc
NIP,NI V Offshore DevCo QFPF LLC
NIP,NI V Agatestone Grove 2 Non-QFPF Inc.
NIP,NI V Agatestone Grove 2 QFPF LLC
NIP,NI V Agatestone Grove Non-QFPF Inc
NIP,NI V Agatestone Grove QFPF LLC
NIP,NI V ParkCo ANTARES GK
NIP,NI V Azurite HoldCo Limited
NIP,NI V Corundum TopCo Ltd
NIP,NI V Gneiss HoldCo Ltd
NIP,NI V Firnwind Cravenhill QFPF LLC
NIP,NI V South West Wind HoldCo Ltd
NIP,NI V Sponsor Investor F&F K/S
NIP,NI V Sponsor Investor FANDF K/S
NIP,NI V Sponsor Investor II K/S
NIP,NI V Sponsor Investor KS
NIP,NI V Sponsor Investor PD K/S
NIP,NI V Sponsor Investor US KS
NIP,NI V Sponsor Investor US LP
NIP,NI V Blackcurrant HoldCo Srl
NIP,NI V Foxglove HoldCo LLC
NIP,NI V Sweden Greenfield OFW SCSp
NIP,NI V Bramblehill HoldCo BV
NIP,NI V Bramblehill Lender Oy
NIP,NI V Hedgerow TopCo 3 Limited
NIP,NI V US A LP
NIP,NI V US B LP
NIP,NI V US C LP
NIP,NI V US Co-invest LP
NIP,NI V US D LP
NIP,NI V US Sponsor Investor Inc.
NIP,NI V USD feeder K/S
NIP,NI VIC-2 Hold Trust
NIP,NI VIC-3 Hold Trust
NIP,NI Cardenhall HoldCo Pty Ltd
NIP,NI Charnwood HoldCo Pty Ltd
NIP,NI Elmsworth Hold Trust
NIP,NI Elmsworth TopCo SCSp
NIP,NIP FUND SOLUTIONS APS
NIP,NIP GP Interests Holding K/S
NIP,NIP P/S
NIP,NIP Platform Cooperative A.M.B.A.
NIP,NIP PLATFORM SOLUTIONS APS
NIP,NIP PLATFORM SOLUTIONS US INC.
NIP,NISC ApS - Non-LU
NIP,NISC GmbH - Non-LU
NIP,NISC Ltd
NIP,NISC Ltd - Non-LU
NIP,NISC Pty Ltd - Australia
NIP,NISC S.L - Non LU
NIP,CIV III 2017 K/S
NIP,Nordvik Infrastructure Advanced Bioenergy Fund I DK A K/S
NIP,Nordvik Infrastructure Advanced Bioenergy Fund I Feeder SCSp
NIP,Nordvik Infrastructure Advanced Bioenergy Fund II QFPF SCSp
NIP,Nordvik Infrastructure Advanced Bioenergy Fund II SCSp
NIP,Nordvik Infrastructure Co-invest GP S.A.RL (NIP)
NIP,Nordvik Infrastructure Evergreen Credit Fund EUR SCSp
NIP,Nordvik Infrastructure Evergreen Non-US Blocker SCSp
NIP,Nordvik Infrastructure Evergreen US Blocker SCSp
NIP,Nordvik Infrastructure GCF I GP S.à r.l. (SGL)
NIP,Nordvik Infrastructure GCF II GP S.à r.l.
NIP,Nordvik Infrastructure Green Credit Fund I Non-SRT AIV SCSp (SGL)
NIP,Nordvik Infrastructure Green Credit Fund I SCSp (SGL)
NIP,Nordvik Infrastructure Green Credit Fund II EUR Non-US Blocker SCSp
NIP,Nordvik Infrastructure Green Credit Fund II EUR SCSp
NIP,Nordvik Infrastructure Green Credit Fund II EUR US Blocker SCSp
NIP,Nordvik Infrastructure Green Credit Fund II USD Blocked SCSp
NIP,Nordvik Infrastructure Green Credit Fund II USD Blocked SCSp (Do not use)
NIP,Nordvik Infrastructure Green Credit Fund II USD Non-US Blocker SCSp
NIP,Nordvik Infrastructure Green Credit Fund II USD SCSp
NIP,Nordvik Infrastructure Green Credit Fund II USD US Blocker SCSp
NIP,Nordvik Infrastructure Growth Markets Fund II Feeder SCA SICAV-RAIF
NIP,Nordvik Infrastructure I New Markets Fund I K/S
NIP,Nordvik infrastructure IV AUS Trust K/S
NIP,Nordvik infrastructure IV Dutch K/S
NIP,Nordvik Infrastructure IV GP S.à r.l.
NIP,Nordvik infrastructure IV K/S
NIP,Nordvik infrastructure IV SCSp
NIP,Nordvik Infrastructure NMF I K/S
NIP,Nordvik Infrastructure SWIC Co-Invest Vehicle I SCSp
NIP,Nordvik Infrastructure Partners GP Interests Holding K/S
NIP,Nordvik Infrastructure Partners Inc. - Non LU
NIP,Nordvik Infrastructure V EUR Blocker Feeder SCSp
NIP,Nordvik Infrastructure V Feeder SCA SICAV-RAIF
NIP,Nordvik Infrastructure V Feeder SCA SICAV-RAIF B compartment
NIP,Nordvik Infrastructure V Feeder SCA SICAV-RAIF EUR compartment
NIP,Nordvik Infrastructure V GP ApS
NIP,Nordvik Infrastructure V GP I SCSp
NIP,Nordvik Infrastructure V GP S.à r.l
NIP,Nordvik Infrastructure V NO SCSp (Do not use)
NIP,Nordvik Infrastructure V SCSp
NIP,Nordvik Infrastructure V US A USD SCSp
NIP,Nordvik Infrastructure V US B USD SCSp
NIP,Nordvik Infrastructure V US C LP
NIP,Nordvik Infrastructure V US D LP
NIP,Nordvik Infrastructure V US GP A LLC
NIP,Nordvik Infrastructure V US Non-QFPF EUR Blocker SCSp
NIP,Nordvik Infrastructure V US Non-QFPF EUR SCSp
NIP,Nordvik Infrastructure V US Non-QFPF USD Feeder SCSp
NIP,Nordvik Infrastructure V US QFPF EUR SCSp
NIP,Nordvik Infrastructure V US QFPF USD Feeder SCSp
NIP,Nordvik Infrastructure V USD Blocker Feeder SCSp
NIP,Nordvik Infrastructure V USD Feeder SCSp
NIP,Nordvik Infrastructure VI GP Sarl
NIP,Nordvik Infrastructure VI SCSp
NIP,Director - Rikke Fenger
NIP,Director - Ida Palsgaard
NIP,FREYR NI CO-Invest LP
NIP,Estonia Offshore Wind DevCo OÜ
NIP,Kvasir Wind Holdings Pty Ltd
NIP,Magni NI Co-Invest SCSp
NIP,Ampelos HoldCo LLC
NIP,Cephalus Biogas 001 Limited
NIP,Nereus Chrysos SL S de RL de CV
NIP,Pleione NI Co-invest SCSp
NIP,HMRC Birmingham stamp office
NIP,IP NI Co-Invest K/S
NIP,Castalia Platform CV
NIP,Alcor NI Co-Invest SCSp
NIP,JBESS SRL
NIP,ANTARES Ottesen
NIP,Kommanditselskabet af 20 juni 2023
NIP,Pavo Renewables INC
NIP,Talitha Stenvik Renewables LLC
NIP,Alnair NI Co-Invest SCSp
NIP,Avior NI Co-Invest SCSp
NIP,Diphda Solar DevCo II LLC
NIP,Avocet Offshore Windfarm Limited
NIP,Vantle Resource Technologies
NIP,Harrier Rowanhill Oy
NIP,Edddale Lars de KJELDSEN
NIP,SCRF NI Co-Invest GP S.à r.l.
NIP,SCRF NI Co-Invest SCSp
NIP,Whimbrel NI Co-Invest SCSp
NIP,Agatestone Grove 2 Holdco LLC
NIP,Agatestone Grove 2 LLC
NIP,Agatestone Grove DevCo LLC
NIP,Agatestone Grove II HoldCo LLC
NIP,Agatestone Grove Wind LLC
NIP,Kyanite Power S.R.L.
NIP,MOONSTONE BESS S.R.L.
NIP,OLIVINE BESS S.R.L.
NIP,Onyxvale S.r.l.
NIP,PYRITEHILL S.R.L.
NIP,Quartzite Bess S.r.l.
NIP,Austerwind Alpheratz S.r.l.
NIP,Firnwind Cravenhill LLC
NIP,Firnwind Cravenhill TopCo LLC
NIP,Rainshadow Biogas A/S
NIP,Storage Portfolio II LLC
NIP,Storage Portfolio LLC
NIP,Studio Legale associato ad Innberg LLP
NIP,Dogrose Assets OÜ
NIP,"Juniperhill Power, S. de R.L de C.V"
NIP,MARRAMFIELD S.R.L.
NIP,Woodruff NI Co-Invest SCSp
NIP,Bexmoor Platform C.V.
